iter	Passed	Remaining
0	1	102
1	1	96
2	2	93
3	3	86
4	4	84
5	5	82
6	6	88
7	7	90
8	8	89
9	9	87
10	10	85
11	11	84
12	12	82
13	13	80
14	13	79
15	14	77
16	15	76
17	16	75
18	17	73
19	18	72
20	19	71
21	19	70
22	20	69
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	27	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	33	55
38	34	54
39	35	53
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	36
59	53	35
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	78	10
88	79	9
89	81	9
90	82	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
